type,time,id,speed,relative_position
rl,25.1,f_1W.0,5,0
,25.2,f_1W.0,5.18,0.52
,25.3,f_1W.0,5.37,1.05
,25.4,f_1W.0,5.6,1.61
,25.5,f_1W.0,5.77,2.19
,25.6,f_1W.0,5.95,2.79
,25.7,f_1W.0,6.13,3.4
,25.8,f_1W.0,6.37,4.04
,25.9,f_1W.0,6.5,4.69
,26,f_1W.0,6.7,5.36
,26.1,f_1W.0,6.87,6.04
,26.2,f_1W.0,7.09,6.75
,26.3,f_1W.0,7.29,7.48
,26.4,f_1W.0,7.53,8.24
,26.5,f_1W.0,7.73,9.01
,26.6,f_1W.0,7.97,9.8
,26.7,f_1W.0,8.1,10.61
,26.8,f_1W.0,8.31,11.45
,26.9,f_1W.0,8.53,12.3
,27,f_1W.0,8.69,13.17
,27.1,f_1W.0,8.93,14.06
,27.2,f_1W.0,9.15,14.98
,27.3,f_1W.0,9.37,15.91
,27.4,f_1W.0,9.57,16.87
,27.5,f_1W.0,9.75,17.84
,27.6,f_1W.0,9.98,18.84
,27.7,f_1W.0,10.21,19.86
,27.8,f_1W.0,10.38,20.9
,27.9,f_1W.0,10.58,21.96
,28,f_1W.0,10.78,23.04
,28.1,f_1W.0,10.91,24.13
,28.2,f_1W.0,11.1,25.24
,28.3,f_1W.0,11.33,26.37
,28.4,f_1W.0,11.52,27.52
,28.5,f_1W.0,11.73,28.7
,28.6,f_1W.0,11.95,29.89
,28.7,f_1W.0,12.13,31.11
,28.8,f_1W.0,12.36,32.34
,28.9,f_1W.0,12.6,33.6
,29,f_1W.0,12.79,34.88
,29.1,f_1W.0,12.95,36.17
,29.2,f_1W.0,13.19,37.49
,29.3,f_1W.0,13.34,38.83
,29.4,f_1W.0,13.49,40.18
,29.5,f_1W.0,13.64,41.54
,29.6,f_1W.0,13.86,42.93
,29.7,f_1W.0,13.81,44.31
,29.8,f_1W.0,13.81,45.69
,29.9,f_1W.0,13.8,47.07
,30,f_1W.0,13.78,48.44
,30.1,f_1W.0,13.88,49.83
,30.2,f_1W.0,13.81,51.21
,30.3,f_1W.0,13.77,52.59
,30.4,f_1W.0,13.79,53.97
,30.5,f_1W.0,13.89,55.36
,30.6,f_1W.0,13.78,56.74
,30.7,f_1W.0,13.88,58.12
,30.8,f_1W.0,13.85,59.51
,30.9,f_1W.0,13.87,60.9
,31,f_1W.0,13.81,62.28
,31.1,f_1W.0,13.83,63.66
,31.2,f_1W.0,13.88,65.05
,31.3,f_1W.0,13.83,66.43
,31.4,f_1W.0,13.8,67.81
,31.5,f_1W.0,13.81,69.19
,31.6,f_1W.0,13.77,70.57
,31.7,f_1W.0,13.83,71.95
,31.8,f_1W.0,13.88,73.34
,31.9,f_1W.0,13.84,74.72
,32,f_1W.0,13.87,76.11
,32.1,f_1W.0,13.83,77.49
,32.2,f_1W.0,13.83,78.88
,32.3,f_1W.0,13.79,80.26
,32.4,f_1W.0,13.89,81.64
,32.5,f_1W.0,13.87,83.03
,32.6,f_1W.0,13.77,84.41
,32.7,f_1W.0,13.78,85.79
,32.8,f_1W.0,13.85,87.17
,32.9,f_1W.0,13.8,88.55
,33,f_1W.0,13.78,89.93
,33.1,f_1W.0,13.82,91.31
,33.2,f_1W.0,13.85,92.69
,33.3,f_1W.0,13.86,94.08
,33.4,f_1W.0,13.8,95.46
,33.5,f_1W.0,13.77,96.84
,33.6,f_1W.0,13.85,98.22
,33.7,f_1W.0,13.77,99.6
,33.8,f_1W.0,13.85,100.98
,33.9,f_1W.0,13.82,102.37
,34,f_1W.0,13.89,103.76
,34.1,f_1W.0,13.81,105.14
,34.2,f_1W.0,13.88,106.52
,34.3,f_1W.0,13.82,107.91
,34.4,f_1W.0,13.8,109.29
,34.5,f_1W.0,13.84,110.67
,34.6,f_1W.0,13.82,112.05
,34.7,f_1W.0,13.87,113.44
,34.8,f_1W.0,13.83,114.82
,34.9,f_1W.0,13.82,116.21
,35,f_1W.0,13.81,117.59
,35.1,f_1W.0,13.87,118.97
,35.2,f_1W.0,13.89,120.36
,35.3,f_1W.0,13.81,121.74
,35.4,f_1W.0,13.82,123.12
,35.5,f_1W.0,13.85,124.51
,35.6,f_1W.0,13.77,125.89
,35.7,f_1W.0,13.87,127.27
,35.8,f_1W.0,13.88,128.66
,35.9,f_1W.0,13.85,130.05
,36,f_1W.0,13.84,131.43
,36.1,f_1W.0,13.83,132.82
,36.2,f_1W.0,13.83,134.2
,36.3,f_1W.0,13.84,135.58
,36.4,f_1W.0,13.81,136.96
,36.5,f_1W.0,13.87,138.35
,36.6,f_1W.0,13.78,139.73
,36.7,f_1W.0,13.88,141.12
,36.8,f_1W.0,13.88,142.51
,36.9,f_1W.0,13.82,143.89
,37,f_1W.0,13.79,145.27
,37.1,f_1W.0,13.85,146.65
,37.2,f_1W.0,13.83,148.03
,37.3,f_1W.0,13.86,149.42
,37.4,f_1W.0,13.85,150.81
,37.5,f_1W.0,13.88,152.19
,37.6,f_1W.0,13.86,153.58
,37.7,f_1W.0,13.85,154.96
,37.8,f_1W.0,13.87,156.35
,37.9,f_1W.0,13.84,157.73
,38,f_1W.0,13.79,159.11
,38.1,f_1W.0,13.89,160.5
,38.2,f_1W.0,13.82,161.88
,38.3,f_1W.0,13.83,163.27
,38.4,f_1W.0,13.78,164.65
,38.5,f_1W.0,13.84,166.03
,38.6,f_1W.0,13.81,167.41
,38.7,f_1W.0,13.81,168.79
,38.8,f_1W.0,13.78,170.17
,38.9,f_1W.0,13.8,171.55
,39,f_1W.0,13.84,172.93
,39.1,f_1W.0,13.78,174.31
,39.2,f_1W.0,13.88,175.7
,39.3,f_1W.0,13.77,177.08
,39.4,f_1W.0,13.87,178.46
,39.5,f_1W.0,13.77,179.84
,39.6,f_1W.0,13.89,181.23
,39.7,f_1W.0,13.88,182.62
,39.8,f_1W.0,13.83,184
,39.9,f_1W.0,13.77,185.38
,40,f_1W.0,13.77,186.75
,40.1,f_1W.0,13.85,188.14
,40.2,f_1W.0,13.86,189.53
,40.3,f_1W.0,13.8,190.91
,40.4,f_1W.0,13.82,192.29
,40.5,f_1W.0,13.78,193.66
,40.6,f_1W.0,13.89,195.05
,40.7,f_1W.0,13.87,196.44
,40.8,f_1W.0,13.78,197.82
,40.9,f_1W.0,13.79,199.2
,41,f_1W.0,13.85,200.58
,41.1,f_1W.0,13.87,201.97
,41.2,f_1W.0,13.86,203.35
,41.3,f_1W.0,13.87,204.74
,41.4,f_1W.0,13.88,206.13
,41.5,f_1W.0,13.82,207.51
,41.6,f_1W.0,13.81,208.89
,41.7,f_1W.0,13.79,210.27
,41.8,f_1W.0,13.87,211.66
,41.9,f_1W.0,13.88,213.05
,42,f_1W.0,13.81,214.43
,42.1,f_1W.0,13.84,215.81
,42.2,f_1W.0,13.82,217.19
,42.3,f_1W.0,13.84,218.58
,42.4,f_1W.0,13.81,219.96
,42.5,f_1W.0,13.77,221.34
,42.6,f_1W.0,13.85,222.72
,42.7,f_1W.0,13.85,224.1
,42.8,f_1W.0,13.89,225.49
,42.9,f_1W.0,13.85,226.88
,43,f_1W.0,13.83,228.26
,43.1,f_1W.0,13.86,229.65
,43.2,f_1W.0,13.79,231.03
,43.3,f_1W.0,13.82,232.41
,43.4,f_1W.0,13.87,233.8
,43.5,f_1W.0,13.82,235.18
,43.6,f_1W.0,13.88,236.56
,43.7,f_1W.0,13.82,237.95
,43.8,f_1W.0,13.82,239.33
,43.9,f_1W.0,13.81,240.71
,44,f_1W.0,13.82,242.09
,44.1,f_1W.0,13.87,243.48
,44.2,f_1W.0,13.79,244.86
,44.3,f_1W.0,13.79,246.24
,44.4,f_1W.0,13.8,247.62
,44.5,f_1W.0,13.79,249
,44.6,f_1W.0,13.8,250.38
,44.7,f_1W.0,13.88,251.76
,44.8,f_1W.0,13.79,253.14
,44.9,f_1W.0,13.88,254.53
,45,f_1W.0,13.88,255.92
,45.1,f_1W.0,13.81,257.3
,45.2,f_1W.0,13.89,258.69
,45.3,f_1W.0,13.8,260.07
,45.4,f_1W.0,13.88,261.46
,45.5,f_1W.0,13.81,262.84
,45.6,f_1W.0,13.85,264.22
,45.7,f_1W.0,13.86,265.61
,45.8,f_1W.0,13.83,266.99
,45.9,f_1W.0,13.87,268.38
,46,f_1W.0,13.89,269.77
,46.1,f_1W.0,13.77,271.15
,46.2,f_1W.0,13.87,272.53
,46.3,f_1W.0,13.89,273.92
,46.4,f_1W.0,13.88,275.31
,46.5,f_1W.0,13.82,276.69
,46.6,f_1W.0,13.83,278.07
,46.7,f_1W.0,13.86,279.46
,46.8,f_1W.0,13.86,280.85
,46.9,f_1W.0,13.77,282.22
,47,f_1W.0,13.83,283.61
,47.1,f_1W.0,13.8,284.99
,47.2,f_1W.0,13.79,286.37
,47.3,f_1W.0,13.89,287.75
,47.4,f_1W.0,13.88,289.14
,47.5,f_1W.0,13.81,290.52
,47.6,f_1W.0,13.86,291.91
,47.7,f_1W.0,13.89,293.3
,47.8,f_1W.0,13.81,294.68
,47.9,f_1W.0,13.88,296.07
,48,f_1W.0,13.79,297.45
,48.1,f_1W.0,13.79,298.83
,48.2,f_1W.0,13.84,300.21
,48.3,f_1W.0,13.87,301.6
,48.4,f_1W.0,13.8,302.98
,48.5,f_1W.0,13.82,304.36
,48.6,f_1W.0,13.8,305.74
,48.7,f_1W.0,13.79,307.12
,48.8,f_1W.0,13.78,308.49
,48.9,f_1W.0,13.81,309.88
,49,f_1W.0,13.84,311.26
,49.1,f_1W.0,13.79,312.64
,49.2,f_1W.0,13.77,314.02
,49.3,f_1W.0,13.77,315.39
,49.4,f_1W.0,13.88,316.78
,49.5,f_1W.0,13.86,318.17
,49.6,f_1W.0,13.81,319.55
,49.7,f_1W.0,13.82,320.93
,49.8,f_1W.0,13.84,322.31
,49.9,f_1W.0,13.82,323.7
,50,f_1W.0,13.84,325.08
,50.1,f_1W.0,13.79,326.46
,50.2,f_1W.0,13.87,327.85
,50.3,f_1W.0,13.85,329.23
,50.4,f_1W.0,13.82,330.61
,50.5,f_1W.0,13.79,331.99
,50.6,f_1W.0,13.77,333.37
,50.7,f_1W.0,13.86,334.76
,50.8,f_1W.0,13.8,336.14
,50.9,f_1W.0,13.79,337.52
,51,f_1W.0,13.8,338.9
,51.1,f_1W.0,13.8,340.27
,51.2,f_1W.0,13.8,341.66
,51.3,f_1W.0,13.85,343.04
,51.4,f_1W.0,13.88,344.43
,51.5,f_1W.0,13.84,345.81
,51.6,f_1W.0,13.81,347.19
,51.7,f_1W.0,13.89,348.58
,51.8,f_1W.0,13.89,349.97
