type,time,id,speed,relative_position
rl,25.1,f_1W.0,5,0
,25.2,f_1W.0,5.24,0.52
,25.3,f_1W.0,5.38,1.06
,25.4,f_1W.0,5.59,1.62
,25.5,f_1W.0,5.82,2.2
,25.6,f_1W.0,6.01,2.8
,25.7,f_1W.0,6.22,3.43
,25.8,f_1W.0,6.45,4.07
,25.9,f_1W.0,6.67,4.74
,26,f_1W.0,6.86,5.42
,26.1,f_1W.0,7.01,6.12
,26.2,f_1W.0,7.22,6.85
,26.3,f_1W.0,7.43,7.59
,26.4,f_1W.0,7.61,8.35
,26.5,f_1W.0,7.74,9.12
,26.6,f_1W.0,7.9,9.91
,26.7,f_1W.0,8.03,10.72
,26.8,f_1W.0,8.26,11.54
,26.9,f_1W.0,8.41,12.38
,27,f_1W.0,8.6,13.24
,27.1,f_1W.0,8.77,14.12
,27.2,f_1W.0,8.95,15.02
,27.3,f_1W.0,9.11,15.93
,27.4,f_1W.0,9.25,16.85
,27.5,f_1W.0,9.39,17.79
,27.6,f_1W.0,9.55,18.75
,27.7,f_1W.0,9.7,19.72
,27.8,f_1W.0,9.84,20.7
,27.9,f_1W.0,9.98,21.7
,28,f_1W.0,10.15,22.71
,28.1,f_1W.0,10.35,23.75
,28.2,f_1W.0,10.57,24.81
,28.3,f_1W.0,10.76,25.88
,28.4,f_1W.0,10.97,26.98
,28.5,f_1W.0,11.12,28.09
,28.6,f_1W.0,11.35,29.23
,28.7,f_1W.0,11.5,30.38
,28.8,f_1W.0,11.73,31.55
,28.9,f_1W.0,11.89,32.74
,29,f_1W.0,12.11,33.95
,29.1,f_1W.0,12.25,35.18
,29.2,f_1W.0,12.41,36.42
,29.3,f_1W.0,12.56,37.67
,29.4,f_1W.0,12.72,38.94
,29.5,f_1W.0,12.89,40.23
,29.6,f_1W.0,13.07,41.54
,29.7,f_1W.0,13.23,42.86
,29.8,f_1W.0,13.4,44.2
,29.9,f_1W.0,13.53,45.56
,30,f_1W.0,13.74,46.93
,30.1,f_1W.0,13.83,48.31
,30.2,f_1W.0,13.8,49.69
,30.3,f_1W.0,13.78,51.07
,30.4,f_1W.0,13.82,52.45
,30.5,f_1W.0,13.77,53.83
,30.6,f_1W.0,13.8,55.21
,30.7,f_1W.0,13.81,56.59
,30.8,f_1W.0,13.82,57.97
,30.9,f_1W.0,13.81,59.35
,31,f_1W.0,13.83,60.74
,31.1,f_1W.0,13.88,62.12
,31.2,f_1W.0,13.86,63.51
,31.3,f_1W.0,13.79,64.89
,31.4,f_1W.0,13.79,66.27
,31.5,f_1W.0,13.81,67.65
,31.6,f_1W.0,13.78,69.03
,31.7,f_1W.0,13.84,70.41
,31.8,f_1W.0,13.79,71.79
,31.9,f_1W.0,13.82,73.17
,32,f_1W.0,13.82,74.55
,32.1,f_1W.0,13.81,75.94
,32.2,f_1W.0,13.87,77.32
,32.3,f_1W.0,13.81,78.7
,32.4,f_1W.0,13.82,80.09
,32.5,f_1W.0,13.86,81.47
,32.6,f_1W.0,13.84,82.86
,32.7,f_1W.0,13.88,84.24
,32.8,f_1W.0,13.88,85.63
,32.9,f_1W.0,13.79,87.01
,33,f_1W.0,13.79,88.39
,33.1,f_1W.0,13.79,89.77
,33.2,f_1W.0,13.89,91.16
,33.3,f_1W.0,13.86,92.54
,33.4,f_1W.0,13.82,93.93
,33.5,f_1W.0,13.79,95.3
,33.6,f_1W.0,13.85,96.69
,33.7,f_1W.0,13.82,98.07
,33.8,f_1W.0,13.86,99.46
,33.9,f_1W.0,13.85,100.84
,34,f_1W.0,13.89,102.23
,34.1,f_1W.0,13.78,103.61
,34.2,f_1W.0,13.81,104.99
,34.3,f_1W.0,13.78,106.37
,34.4,f_1W.0,13.88,107.76
,34.5,f_1W.0,13.87,109.14
,34.6,f_1W.0,13.77,110.52
,34.7,f_1W.0,13.84,111.9
,34.8,f_1W.0,13.85,113.29
,34.9,f_1W.0,13.77,114.67
,35,f_1W.0,13.88,116.05
,35.1,f_1W.0,13.88,117.44
,35.2,f_1W.0,13.8,118.82
,35.3,f_1W.0,13.79,120.2
,35.4,f_1W.0,13.86,121.59
,35.5,f_1W.0,13.81,122.97
,35.6,f_1W.0,13.77,124.34
,35.7,f_1W.0,13.79,125.72
,35.8,f_1W.0,13.87,127.11
,35.9,f_1W.0,13.88,128.5
,36,f_1W.0,13.79,129.88
,36.1,f_1W.0,13.78,131.26
,36.2,f_1W.0,13.8,132.64
,36.3,f_1W.0,13.87,134.02
,36.4,f_1W.0,13.86,135.41
,36.5,f_1W.0,13.77,136.79
,36.6,f_1W.0,13.79,138.16
,36.7,f_1W.0,13.88,139.55
,36.8,f_1W.0,13.79,140.93
,36.9,f_1W.0,13.83,142.32
,37,f_1W.0,13.82,143.7
,37.1,f_1W.0,13.84,145.08
,37.2,f_1W.0,13.77,146.46
,37.3,f_1W.0,13.88,147.85
,37.4,f_1W.0,13.85,149.23
,37.5,f_1W.0,13.86,150.62
,37.6,f_1W.0,13.85,152
,37.7,f_1W.0,13.81,153.39
,37.8,f_1W.0,13.82,154.77
,37.9,f_1W.0,13.88,156.16
,38,f_1W.0,13.82,157.54
,38.1,f_1W.0,13.81,158.92
,38.2,f_1W.0,13.85,160.3
,38.3,f_1W.0,13.87,161.69
,38.4,f_1W.0,13.88,163.08
,38.5,f_1W.0,13.78,164.45
,38.6,f_1W.0,13.84,165.84
,38.7,f_1W.0,13.78,167.22
,38.8,f_1W.0,13.85,168.6
,38.9,f_1W.0,13.81,169.98
,39,f_1W.0,13.77,171.36
,39.1,f_1W.0,13.82,172.74
,39.2,f_1W.0,13.85,174.13
,39.3,f_1W.0,13.87,175.51
,39.4,f_1W.0,13.83,176.9
,39.5,f_1W.0,13.8,178.28
,39.6,f_1W.0,13.78,179.65
,39.7,f_1W.0,13.85,181.04
,39.8,f_1W.0,13.82,182.42
,39.9,f_1W.0,13.84,183.81
,40,f_1W.0,13.8,185.18
,40.1,f_1W.0,13.83,186.57
,40.2,f_1W.0,13.78,187.95
,40.3,f_1W.0,13.86,189.33
,40.4,f_1W.0,13.77,190.71
,40.5,f_1W.0,13.89,192.1
,40.6,f_1W.0,13.86,193.48
,40.7,f_1W.0,13.78,194.86
,40.8,f_1W.0,13.83,196.24
,40.9,f_1W.0,13.87,197.63
,41,f_1W.0,13.81,199.01
,41.1,f_1W.0,13.85,200.4
,41.2,f_1W.0,13.88,201.79
,41.3,f_1W.0,13.84,203.17
,41.4,f_1W.0,13.81,204.55
,41.5,f_1W.0,13.77,205.93
,41.6,f_1W.0,13.87,207.31
,41.7,f_1W.0,13.83,208.7
,41.8,f_1W.0,13.84,210.08
,41.9,f_1W.0,13.85,211.47
,42,f_1W.0,13.77,212.84
,42.1,f_1W.0,13.86,214.23
,42.2,f_1W.0,13.88,215.62
,42.3,f_1W.0,13.82,217
,42.4,f_1W.0,13.88,218.39
,42.5,f_1W.0,13.83,219.77
,42.6,f_1W.0,13.85,221.16
,42.7,f_1W.0,13.79,222.53
,42.8,f_1W.0,13.84,223.92
,42.9,f_1W.0,13.88,225.31
,43,f_1W.0,13.83,226.69
,43.1,f_1W.0,13.81,228.07
,43.2,f_1W.0,13.8,229.45
,43.3,f_1W.0,13.84,230.83
,43.4,f_1W.0,13.77,232.21
,43.5,f_1W.0,13.83,233.6
,43.6,f_1W.0,13.87,234.98
,43.7,f_1W.0,13.79,236.36
,43.8,f_1W.0,13.83,237.75
,43.9,f_1W.0,13.86,239.13
,44,f_1W.0,13.78,240.51
,44.1,f_1W.0,13.86,241.9
,44.2,f_1W.0,13.85,243.28
,44.3,f_1W.0,13.84,244.66
,44.4,f_1W.0,13.84,246.05
,44.5,f_1W.0,13.88,247.44
,44.6,f_1W.0,13.79,248.82
,44.7,f_1W.0,13.83,250.2
,44.8,f_1W.0,13.81,251.58
,44.9,f_1W.0,13.8,252.96
,45,f_1W.0,13.87,254.35
,45.1,f_1W.0,13.85,255.73
,45.2,f_1W.0,13.79,257.11
,45.3,f_1W.0,13.83,258.49
