type,time,id,speed,relative_position
rl,25.1,f_1W.0,5,0
,25.2,f_1W.0,5.23,0.52
,25.3,f_1W.0,5.36,1.06
,25.4,f_1W.0,5.53,1.61
,25.5,f_1W.0,5.73,2.19
,25.6,f_1W.0,5.88,2.77
,25.7,f_1W.0,6.12,3.39
,25.8,f_1W.0,6.25,4.01
,25.9,f_1W.0,6.49,4.66
,26,f_1W.0,6.67,5.33
,26.1,f_1W.0,6.83,6.01
,26.2,f_1W.0,7.04,6.71
,26.3,f_1W.0,7.23,7.44
,26.4,f_1W.0,7.48,8.18
,26.5,f_1W.0,7.67,8.95
,26.6,f_1W.0,7.81,9.73
,26.7,f_1W.0,8,10.53
,26.8,f_1W.0,8.24,11.36
,26.9,f_1W.0,8.44,12.2
,27,f_1W.0,8.62,13.06
,27.1,f_1W.0,8.78,13.94
,27.2,f_1W.0,8.92,14.83
,27.3,f_1W.0,9.16,15.75
,27.4,f_1W.0,9.39,16.69
,27.5,f_1W.0,9.6,17.65
,27.6,f_1W.0,9.76,18.62
,27.7,f_1W.0,9.9,19.61
,27.8,f_1W.0,10.14,20.63
,27.9,f_1W.0,10.33,21.66
,28,f_1W.0,10.48,22.71
,28.1,f_1W.0,10.68,23.78
,28.2,f_1W.0,10.89,24.86
,28.3,f_1W.0,11.09,25.97
,28.4,f_1W.0,11.33,27.11
,28.5,f_1W.0,11.46,28.25
,28.6,f_1W.0,11.61,29.41
,28.7,f_1W.0,11.81,30.6
,28.8,f_1W.0,12.01,31.8
,28.9,f_1W.0,12.25,33.02
,29,f_1W.0,12.46,34.27
,29.1,f_1W.0,12.62,35.53
,29.2,f_1W.0,12.76,36.81
,29.3,f_1W.0,13,38.11
,29.4,f_1W.0,13.13,39.42
,29.5,f_1W.0,13.35,40.75
,29.6,f_1W.0,13.52,42.11
,29.7,f_1W.0,13.7,43.48
,29.8,f_1W.0,13.87,44.86
,29.9,f_1W.0,14.12,46.28
,30,f_1W.0,14.28,47.7
,30.1,f_1W.0,14.5,49.15
,30.2,f_1W.0,14.64,50.62
,30.3,f_1W.0,14.77,52.09
,30.4,f_1W.0,14.9,53.58
,30.5,f_1W.0,15.11,55.09
,30.6,f_1W.0,15.24,56.62
,30.7,f_1W.0,15.43,58.16
,30.8,f_1W.0,15.58,59.72
,30.9,f_1W.0,15.72,61.29
,31,f_1W.0,15.93,62.89
,31.1,f_1W.0,16.11,64.5
,31.2,f_1W.0,16.28,66.12
,31.3,f_1W.0,16.43,67.77
,31.4,f_1W.0,16.57,69.42
,31.5,f_1W.0,16.73,71.1
,31.6,f_1W.0,16.9,72.79
,31.7,f_1W.0,17.05,74.49
,31.8,f_1W.0,17.29,76.22
,31.9,f_1W.0,17.51,77.97
,32,f_1W.0,17.72,79.75
,32.1,f_1W.0,17.87,81.53
,32.2,f_1W.0,18.06,83.34
,32.3,f_1W.0,18.27,85.17
,32.4,f_1W.0,18.48,87.01
,32.5,f_1W.0,18.7,88.88
,32.6,f_1W.0,18.94,90.78
,32.7,f_1W.0,19.13,92.69
,32.8,f_1W.0,19.36,94.63
,32.9,f_1W.0,19.49,96.58
,33,f_1W.0,19.73,98.55
,33.1,f_1W.0,19.92,100.54
,33.2,f_1W.0,19.99,102.54
,33.3,f_1W.0,19.92,104.53
,33.4,f_1W.0,19.96,106.53
,33.5,f_1W.0,19.91,108.52
,33.6,f_1W.0,19.93,110.51
,33.7,f_1W.0,19.98,112.51
,33.8,f_1W.0,19.98,114.51
,33.9,f_1W.0,19.91,116.5
,34,f_1W.0,19.96,118.49
,34.1,f_1W.0,19.94,120.49
,34.2,f_1W.0,20,122.49
,34.3,f_1W.0,19.91,124.48
,34.4,f_1W.0,19.9,126.47
,34.5,f_1W.0,19.88,128.46
,34.6,f_1W.0,19.95,130.45
,34.7,f_1W.0,19.91,132.44
,34.8,f_1W.0,19.95,134.44
,34.9,f_1W.0,19.95,136.43
,35,f_1W.0,20,138.43
,35.1,f_1W.0,19.9,140.42
,35.2,f_1W.0,19.98,142.42
,35.3,f_1W.0,19.97,144.42
,35.4,f_1W.0,19.95,146.41
,35.5,f_1W.0,19.94,148.4
,35.6,f_1W.0,19.9,150.4
,35.7,f_1W.0,19.97,152.39
,35.8,f_1W.0,19.88,154.38
,35.9,f_1W.0,19.99,156.38
,36,f_1W.0,19.95,158.37
,36.1,f_1W.0,20,160.37
,36.2,f_1W.0,19.95,162.37
,36.3,f_1W.0,19.91,164.36
,36.4,f_1W.0,19.93,166.35
,36.5,f_1W.0,19.92,168.34
,36.6,f_1W.0,19.95,170.34
,36.7,f_1W.0,19.91,172.33
,36.8,f_1W.0,19.92,174.32
,36.9,f_1W.0,19.92,176.31
,37,f_1W.0,19.88,178.3
,37.1,f_1W.0,19.97,180.3
,37.2,f_1W.0,19.96,182.29
,37.3,f_1W.0,19.93,184.29
,37.4,f_1W.0,19.96,186.28
,37.5,f_1W.0,19.89,188.27
,37.6,f_1W.0,19.91,190.26
,37.7,f_1W.0,19.97,192.26
,37.8,f_1W.0,19.92,194.25
,37.9,f_1W.0,19.9,196.24
,38,f_1W.0,19.95,198.24
,38.1,f_1W.0,19.91,200.23
,38.2,f_1W.0,19.91,202.22
,38.3,f_1W.0,19.94,204.21
,38.4,f_1W.0,19.91,206.2
,38.5,f_1W.0,19.92,208.2
,38.6,f_1W.0,19.9,210.19
,38.7,f_1W.0,19.94,212.18
,38.8,f_1W.0,19.92,214.17
,38.9,f_1W.0,19.95,216.17
,39,f_1W.0,19.9,218.16
,39.1,f_1W.0,19.92,220.15
,39.2,f_1W.0,19.91,222.14
,39.3,f_1W.0,19.93,224.13
,39.4,f_1W.0,19.92,226.13
,39.5,f_1W.0,19.92,228.12
,39.6,f_1W.0,19.96,230.11
,39.7,f_1W.0,19.95,232.11
,39.8,f_1W.0,19.95,234.1
,39.9,f_1W.0,19.89,236.09
,40,f_1W.0,19.97,238.09
,40.1,f_1W.0,19.95,240.08
,40.2,f_1W.0,19.98,242.08
,40.3,f_1W.0,19.98,244.08
,40.4,f_1W.0,19.95,246.08
,40.5,f_1W.0,19.89,248.06
,40.6,f_1W.0,19.92,250.06
,40.7,f_1W.0,20,252.06
,40.8,f_1W.0,19.94,254.05
,40.9,f_1W.0,19.91,256.04
,41,f_1W.0,19.93,258.03
,41.1,f_1W.0,19.88,260.02
,41.2,f_1W.0,19.92,262.02
,41.3,f_1W.0,19.91,264.01
,41.4,f_1W.0,19.96,266
,41.5,f_1W.0,19.9,267.99
,41.6,f_1W.0,19.9,269.98
,41.7,f_1W.0,19.93,271.98
,41.8,f_1W.0,19.93,273.97
,41.9,f_1W.0,19.94,275.96
,42,f_1W.0,19.9,277.95
,42.1,f_1W.0,19.93,279.95
,42.2,f_1W.0,19.88,281.93
,42.3,f_1W.0,19.94,283.93
,42.4,f_1W.0,19.96,285.92
,42.5,f_1W.0,20,287.92
,42.6,f_1W.0,19.9,289.91
,42.7,f_1W.0,19.97,291.91
,42.8,f_1W.0,19.89,293.9
,42.9,f_1W.0,19.88,295.89
,43,f_1W.0,19.95,297.88
,43.1,f_1W.0,19.93,299.88
,43.2,f_1W.0,19.95,301.87
,43.3,f_1W.0,19.96,303.87
,43.4,f_1W.0,19.9,305.86
,43.5,f_1W.0,19.97,307.85
,43.6,f_1W.0,19.89,309.84
,43.7,f_1W.0,19.92,311.83
,43.8,f_1W.0,19.96,313.83
,43.9,f_1W.0,19.94,315.83
,44,f_1W.0,19.94,317.82
,44.1,f_1W.0,19.89,319.81
,44.2,f_1W.0,20,321.81
,44.3,f_1W.0,19.9,323.8
,44.4,f_1W.0,19.97,325.79
,44.5,f_1W.0,19.94,327.79
,44.6,f_1W.0,20,329.79
,44.7,f_1W.0,19.95,331.78
,44.8,f_1W.0,19.89,333.77
,44.9,f_1W.0,19.94,335.77
,45,f_1W.0,19.96,337.76
,45.1,f_1W.0,19.98,339.76
,45.2,f_1W.0,19.96,341.76
,45.3,f_1W.0,19.95,343.75
,45.4,f_1W.0,19.91,345.74
,45.5,f_1W.0,19.88,347.73
,45.6,f_1W.0,19.9,349.72
,45.7,f_1W.0,19.9,351.71
,45.8,f_1W.0,19.9,353.7
,45.9,f_1W.0,19.88,355.69
,46,f_1W.0,19.93,357.68
,46.1,f_1W.0,19.94,359.67
,46.2,f_1W.0,19.89,361.66
,46.3,f_1W.0,19.93,363.66
,46.4,f_1W.0,20,365.66
,46.5,f_1W.0,19.99,367.66
,46.6,f_1W.0,19.94,369.65
,46.7,f_1W.0,19.89,371.64
,46.8,f_1W.0,19.99,373.64
,46.9,f_1W.0,19.99,375.64
,47,f_1W.0,19.94,377.63
,47.1,f_1W.0,19.8,379.61
,47.2,f_1W.0,19.54,381.56
,47.3,f_1W.0,19.27,383.49
,47.4,f_1W.0,19.01,385.39
,47.5,f_1W.0,18.75,387.27
,47.6,f_1W.0,18.49,389.12
,47.7,f_1W.0,18.22,390.94
,47.8,f_1W.0,17.96,392.73
,47.9,f_1W.0,17.7,394.5
,48,f_1W.0,17.44,396.25
,48.1,f_1W.0,17.18,397.97
,48.2,f_1W.0,16.92,399.66
,48.3,f_1W.0,16.67,401.33
,48.4,f_1W.0,16.81,403.01
,48.5,f_1W.0,16.51,404.66
,48.6,f_1W.0,16.67,406.32
,48.7,f_1W.0,16.37,407.96
,48.8,f_1W.0,16.54,409.62
,48.9,f_1W.0,16.77,411.29
,49,f_1W.0,16.47,412.94
,49.1,f_1W.0,16.71,414.61
,49.2,f_1W.0,16.41,416.25
,49.3,f_1W.0,16.6,417.91
,49.4,f_1W.0,16.77,419.59
,49.5,f_1W.0,16.47,421.23
,49.6,f_1W.0,16.66,422.9
,49.7,f_1W.0,16.82,424.58
,49.8,f_1W.0,16.52,426.23
,49.9,f_1W.0,16.68,427.9
,50,f_1W.0,16.38,429.54
,50.1,f_1W.0,16.55,431.19
,50.2,f_1W.0,16.78,432.87
,50.3,f_1W.0,16.48,434.52
,50.4,f_1W.0,16.39,436.16
,50.5,f_1W.0,16.1,437.77
,50.6,f_1W.0,15.8,439.35
,50.7,f_1W.0,15.5,440.9
,50.8,f_1W.0,15.2,442.42
,50.9,f_1W.0,14.9,443.91
,51,f_1W.0,14.6,445.37
,51.1,f_1W.0,14.3,446.8
,51.2,f_1W.0,14.01,448.2
,51.3,f_1W.0,13.71,449.57
,51.4,f_1W.0,13.41,450.91
,51.5,f_1W.0,13.11,452.22
,51.6,f_1W.0,12.81,453.5
,51.7,f_1W.0,12.51,454.75
,51.8,f_1W.0,12.23,455.97
,51.9,f_1W.0,11.93,457.17
,52,f_1W.0,11.63,458.33
,52.1,f_1W.0,11.33,459.46
,52.2,f_1W.0,11.03,460.57
,52.3,f_1W.0,10.73,461.64
,52.4,f_1W.0,10.43,462.68
,52.5,f_1W.0,10.13,463.69
,52.6,f_1W.0,9.83,464.68
,52.7,f_1W.0,9.53,465.63
,52.8,f_1W.0,9.23,466.55
,52.9,f_1W.0,8.93,467.45
,53,f_1W.0,8.63,468.31
,53.1,f_1W.0,8.33,469.14
,53.2,f_1W.0,8.03,469.94
,53.3,f_1W.0,7.73,470.72
,53.4,f_1W.0,7.43,471.46
,53.5,f_1W.0,7.13,472.17
,53.6,f_1W.0,6.83,472.85
,53.7,f_1W.0,6.53,473.51
,53.8,f_1W.0,6.23,474.13
,53.9,f_1W.0,5.93,474.72
,54,f_1W.0,5.63,475.29
,54.1,f_1W.0,5.33,475.82
,54.2,f_1W.0,5.03,476.32
,54.3,f_1W.0,4.73,476.79
,54.4,f_1W.0,4.43,477.24
,54.5,f_1W.0,4.13,477.65
,54.6,f_1W.0,3.83,478.03
,54.7,f_1W.0,3.53,478.39
,54.8,f_1W.0,3.23,478.71
,54.9,f_1W.0,2.93,479
,55,f_1W.0,2.63,479.26
,55.1,f_1W.0,2.33,479.5
,55.2,f_1W.0,2.03,479.7
,55.3,f_1W.0,1.73,479.87
,55.4,f_1W.0,1.43,480.02
,55.5,f_1W.0,1.15,480.13
,55.6,f_1W.0,0.85,480.22
,55.7,f_1W.0,0.55,480.27
,55.8,f_1W.0,0.26,480.3
,55.9,f_1W.0,0.01,480.3
