type,time,relative_position,speed
rl,1,5.1,0.33
rl,1.1,5.16,0.59
rl,1.2,5.24,0.85
rl,1.3,5.35,1.11
rl,1.4,5.49,1.37
rl,1.5,5.65,1.63
rl,1.6,5.84,1.89
rl,1.7,6.06,2.15
rl,1.8,6.3,2.41
rl,1.9,6.57,2.67
rl,2,6.86,2.93
rl,2.1,7.18,3.19
rl,2.2,7.52,3.45
rl,2.3,7.89,3.71
rl,2.4,8.29,3.97
rl,2.5,8.71,4.23
rl,2.6,9.16,4.49
rl,2.7,9.64,4.75
rl,2.8,10.14,5.01
rl,2.9,10.67,5.27
rl,3,11.22,5.53
rl,3.1,11.8,5.79
rl,3.2,12.4,6.05
rl,3.3,13.03,6.31
rl,3.4,13.69,6.57
rl,3.5,14.37,6.83
rl,3.6,15.08,7.09
rl,3.7,15.82,7.35
rl,3.8,16.58,7.61
rl,3.9,17.37,7.87
rl,4,18.18,8.13
rl,4.1,19.02,8.39
rl,4.2,19.88,8.65
rl,4.3,20.77,8.91
rl,4.4,21.69,9.17
rl,4.5,22.63,9.43
rl,4.6,23.6,9.69
rl,4.7,24.6,9.95
rl,4.8,25.6,9.99
rl,4.9,26.6,9.99
rl,5,27.6,9.99
rl,5.1,28.6,9.99
rl,5.2,29.6,9.99
rl,5.3,30.6,9.99
rl,5.4,31.59,9.99
rl,5.5,32.59,9.99
rl,5.6,33.59,9.99
rl,5.7,34.59,9.99
rl,5.8,35.59,9.99
rl,5.9,36.59,9.99
rl,6,37.59,9.99
rl,6.1,38.59,9.99
rl,6.2,39.59,9.99
rl,6.3,40.59,9.99
rl,6.4,41.59,9.99
rl,6.5,42.59,9.99
rl,6.6,43.59,9.99
rl,6.7,44.59,9.99
rl,6.8,45.59,9.99
rl,6.9,46.59,9.99
rl,7,47.59,9.99
rl,7.1,48.58,9.99
rl,7.2,49.58,9.99
rl,7.3,50.58,9.99
rl,7.4,51.58,9.99
rl,7.5,52.58,9.99
rl,7.6,53.58,9.99
rl,7.7,54.58,9.99
rl,7.8,55.58,9.99
rl,7.9,56.58,9.99
rl,8,57.58,9.99
rl,8.1,58.58,9.99
rl,8.2,59.58,9.99
rl,8.3,60.58,9.99
rl,8.4,61.58,9.99
rl,8.5,62.58,9.99
rl,8.6,63.58,9.99
rl,8.7,64.58,9.99
rl,8.8,65.58,9.99
rl,8.9,66.57,9.99
rl,9,67.57,9.99
rl,9.1,68.57,9.99
rl,9.2,69.57,9.99
rl,9.3,70.57,9.99
rl,9.4,71.57,9.99
rl,9.5,72.57,9.99
rl,9.6,73.57,9.99
rl,9.7,74.57,9.99
rl,9.8,75.57,9.99
rl,9.9,76.57,9.99
rl,10,77.57,9.99
rl,10.1,78.57,9.99
rl,10.2,79.57,9.99
rl,10.3,80.57,9.99
rl,10.4,81.57,9.99
rl,10.5,82.57,9.99
rl,10.6,83.56,9.99
rl,10.7,84.56,9.99
rl,10.8,85.56,9.99
rl,10.9,86.56,9.99
rl,11,87.56,9.99
rl,11.1,88.56,9.99
rl,11.2,89.56,9.99
rl,11.3,90.56,9.99
rl,11.4,91.56,9.99
rl,11.5,92.56,9.99
rl,11.6,93.56,9.99
rl,11.7,94.56,9.99
rl,11.8,95.56,9.99
rl,11.9,96.56,9.99
rl,12,97.56,9.99
rl,12.1,98.56,9.99
rl,12.2,99.56,9.99
rl,12.3,100.55,9.99
rl,12.4,101.55,9.99
rl,12.5,102.55,9.99
rl,12.6,103.55,9.99
rl,12.7,104.55,9.99
rl,12.8,105.55,9.99
rl,12.9,106.55,9.99
rl,13,107.55,9.99
rl,13.1,108.55,9.99
rl,13.2,109.55,9.99
rl,13.3,110.55,9.99
rl,13.4,111.55,9.99
rl,13.5,112.55,9.99
rl,13.6,113.55,9.99
rl,13.7,114.55,9.99
rl,13.8,115.55,9.99
rl,13.9,116.55,9.99
rl,14,117.54,9.99
rl,14.1,118.54,9.99
rl,14.2,119.54,9.99
rl,14.3,120.54,9.99
rl,14.4,121.54,9.99
rl,14.5,122.54,9.99
rl,14.6,123.54,9.99
rl,14.7,124.54,9.99
rl,14.8,125.54,9.99
rl,14.9,126.54,9.99
rl,15,127.54,9.99
rl,15.1,128.54,9.99
rl,15.2,129.54,9.99
rl,15.3,130.54,9.99
rl,15.4,131.54,9.99
rl,15.5,132.54,9.99
rl,15.6,133.54,9.99
rl,15.7,134.53,9.99
rl,15.8,135.53,9.99
rl,15.9,136.53,9.99
rl,16,137.53,9.99
rl,16.1,138.53,9.99
rl,16.2,139.53,9.99
rl,16.3,140.53,9.99
rl,16.4,141.53,9.99
rl,16.5,142.53,9.99
rl,16.6,143.53,9.99
rl,16.7,144.53,9.99
rl,16.8,145.53,9.99
rl,16.9,146.53,9.99
rl,17,147.53,9.99
rl,17.1,148.53,9.99
rl,17.2,149.53,9.99
rl,17.3,150.53,9.99
rl,17.4,151.52,9.99
rl,17.5,152.52,9.99
rl,17.6,153.52,9.99
rl,17.7,154.52,9.99
rl,17.8,155.52,9.99
rl,17.9,156.52,9.99
rl,18,157.52,9.99
rl,18.1,158.52,9.99
rl,18.2,159.52,9.99
rl,18.3,160.52,9.99
rl,18.4,161.52,9.99
rl,18.5,162.52,9.99
rl,18.6,163.52,9.99
rl,18.7,164.52,9.99
rl,18.8,165.52,9.99
rl,18.9,166.52,9.99
rl,19,167.52,9.99
rl,19.1,168.52,9.99
rl,19.2,169.51,9.99
rl,19.3,170.51,9.99
rl,19.4,171.51,9.99
rl,19.5,172.51,9.99
rl,19.6,173.51,9.99
rl,19.7,174.51,9.99
rl,19.8,175.51,9.99
rl,19.9,176.51,9.99
rl,20,177.51,9.99
rl,20.1,178.51,9.99
rl,20.2,179.51,9.99
rl,20.3,180.51,9.99
rl,20.4,181.51,9.99
rl,20.5,182.51,9.99
rl,20.6,183.51,9.99
rl,20.7,184.51,9.99
rl,20.8,185.51,9.99
rl,20.9,186.5,9.99
rl,21,187.5,9.99
rl,21.1,188.5,9.99
rl,21.2,189.5,9.99
rl,21.3,190.5,9.99
rl,21.4,191.5,9.99
rl,21.5,192.5,9.99
rl,21.6,193.5,9.99
rl,21.7,194.5,9.99
rl,21.8,195.5,9.99
rl,21.9,196.5,9.99
rl,22,197.5,9.99
rl,22.1,198.5,9.99
rl,22.2,199.5,9.99
rl,22.3,200,9.99
rl,22.4,200.99,9.95
rl,22.5,201.98,9.89
rl,22.6,202.97,9.88
rl,22.7,203.95,9.79
rl,22.8,204.93,9.8
rl,22.9,205.91,9.84
rl,23,206.89,9.73
rl,23.1,207.86,9.78
rl,23.2,208.85,9.85
rl,23.3,209.83,9.83
rl,23.4,210.82,9.87
rl,23.5,211.8,9.81
rl,23.6,212.8,9.99
rl,23.7,213.8,9.99
rl,23.8,214.79,9.9
rl,23.9,215.79,9.99
rl,24,216.79,9.99
rl,24.1,217.79,9.99
rl,24.2,218.78,9.98
rl,24.3,219.78,9.98
rl,24.4,220.78,9.99
rl,24.5,221.78,9.99
rl,24.6,222.76,9.99
rl,24.7,223.76,9.99
rl,24.8,224.76,9.99
rl,24.9,225.76,9.99
rl,25,226.76,9.99
rl,25.1,227.76,9.99
rl,25.2,228.76,9.99
rl,25.3,229.76,9.99
rl,25.4,230.76,9.99
rl,25.5,231.75,9.99
rl,25.6,232.75,9.99
rl,25.7,233.75,9.99
rl,25.8,234.75,9.99
rl,25.9,235.75,9.99
rl,26,236.75,9.99
rl,26.1,237.75,9.99
rl,26.2,238.75,9.99
rl,26.3,239.75,9.99
rl,26.4,240.75,9.99
rl,26.5,241.75,9.99
rl,26.6,242.75,9.99
